Feature Identifier,Feature Name
http://opendatacommunities.org/id/geography/administration/lsoa/E01033749,Liverpool 042F
http://opendatacommunities.org/id/geography/administration/lsoa/E01033750,Liverpool 061A
http://opendatacommunities.org/id/geography/administration/lsoa/E01033751,Liverpool 062A
http://opendatacommunities.org/id/geography/administration/lsoa/E01033752,Liverpool 062B
http://opendatacommunities.org/id/geography/administration/lsoa/E01033753,Liverpool 062C
http://opendatacommunities.org/id/geography/administration/lsoa/E01033754,Liverpool 061B
http://opendatacommunities.org/id/geography/administration/lsoa/E01033755,Liverpool 062D
http://opendatacommunities.org/id/geography/administration/lsoa/E01033756,Liverpool 061C
http://opendatacommunities.org/id/geography/administration/lsoa/E01033757,Liverpool 037E
http://opendatacommunities.org/id/geography/administration/lsoa/E01033758,Liverpool 060B
http://opendatacommunities.org/id/geography/administration/lsoa/E01033759,Liverpool 010F
http://opendatacommunities.org/id/geography/administration/lsoa/E01033760,Liverpool 060C
http://opendatacommunities.org/id/geography/administration/lsoa/E01033761,Liverpool 060D
http://opendatacommunities.org/id/geography/administration/lsoa/E01033762,Liverpool 060E
http://opendatacommunities.org/id/geography/administration/lsoa/E01033763,Liverpool 031G
http://opendatacommunities.org/id/geography/administration/lsoa/E01033764,Liverpool 022E
http://opendatacommunities.org/id/geography/administration/lsoa/E01033765,Liverpool 061D
http://opendatacommunities.org/id/geography/administration/lsoa/E01033766,Liverpool 042G
http://opendatacommunities.org/id/geography/administration/lsoa/E01033767,Liverpool 050J
http://opendatacommunities.org/id/geography/administration/lsoa/E01033768,Liverpool 037F
